trade_date,symbol,close,adj_close,source
2024-01-02,DIPS,100.0000,100.0000,fixture
2024-01-03,DIPS,99.5000,99.5000,fixture
2024-01-04,DIPS,99.0025,99.0025,fixture
2024-01-05,DIPS,98.5075,98.5075,fixture
2024-01-08,DIPS,98.0150,98.0150,fixture
2024-01-09,DIPS,97.5249,97.5249,fixture
2024-01-10,DIPS,97.0373,97.0373,fixture
2024-01-11,DIPS,96.5521,96.5521,fixture
2024-01-12,DIPS,96.0693,96.0693,fixture
2024-01-15,DIPS,95.5890,95.5890,fixture
2024-01-16,DIPS,95.1110,95.1110,fixture
2024-01-17,DIPS,94.6355,94.6355,fixture
2024-01-18,DIPS,94.1623,94.1623,fixture
2024-01-19,DIPS,93.6915,93.6915,fixture
2024-01-22,DIPS,93.2230,93.2230,fixture
2024-01-23,DIPS,92.7569,92.7569,fixture
2024-01-24,DIPS,92.2931,92.2931,fixture
2024-01-25,DIPS,91.8316,91.8316,fixture
2024-01-26,DIPS,91.3725,91.3725,fixture
2024-01-29,DIPS,90.9156,90.9156,fixture
2024-01-30,DIPS,90.4610,90.4610,fixture
2024-01-31,DIPS,90.0087,90.0087,fixture
2024-02-01,DIPS,89.5587,89.5587,fixture
2024-02-02,DIPS,89.1109,89.1109,fixture
2024-02-05,DIPS,88.6654,88.6654,fixture
2024-02-06,DIPS,88.2220,88.2220,fixture
2024-02-07,DIPS,87.7809,87.7809,fixture
2024-02-08,DIPS,87.3420,87.3420,fixture
2024-02-09,DIPS,86.9053,86.9053,fixture
2024-02-12,DIPS,86.4708,86.4708,fixture
2024-02-13,DIPS,86.0384,86.0384,fixture
2024-02-14,DIPS,85.6082,85.6082,fixture
2024-02-15,DIPS,85.1802,85.1802,fixture
2024-02-16,DIPS,84.7543,84.7543,fixture
2024-02-19,DIPS,84.3305,84.3305,fixture
2024-02-20,DIPS,83.9089,83.9089,fixture
2024-02-21,DIPS,83.4893,83.4893,fixture
